,Metabolite,Mass,Metabolite id,Charge,Phosphate,Intracellular concentration [M],Compound class,Ref,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id
0,2-phosphoglycerate,183.033421,2pg,-3,1,0.000322,Other,Park et al,,4,7,4,124,0,-2.6,59
1,3-phosphoglycerate,183.033421,3pg,-3,1,0.00154,Other,"Bennet et al, glucose",,4,7,4,124,0,-2.6,724
2,Acetate,59.04402,ac,-1,0,0.000658,Carboxylic acid,https://ecmdb.ca/compounds/M2MDB000012,"LB, stationary phase overnight",0,2,0,40.1,-1,0.4,175
3,Alanine,89.09318,ala__L,0,0,0.00255,Amino acid,"Bennet et al, glucose",,2,3,1,63.3,0,-3,5950
4,Alpha-aminoadipate,161.156,,0,0,,Other,,,3,5,5,101,0,-3.1,469
5,Alpha-aminobutyrate,102.11,,-1,0,,Other,,,1,3,1,66.2,-1,-1.9,21889526
6,Alpha-ketoglutarate,144.08226,akg,-2,0,0.000443,Other,"Bennet et al, glucose",,2,5,4,91.7,0,-0.9,51
7,Arginine,175.2089,arg__L,1,0,0.000569,Amino acid,"Bennet et al, glucose",,4,4,5,128,0,-4.2,6322
8,Asparagine,132.11792,asn__L,0,0,0.000511,Amino acid,"Bennet et al, glucose",,3,4,3,106,0,-3.4,6267
9,Aspartate,132.09474,asp__L,-1,0,0.00423,Amino acid,"Bennet et al, glucose",,3,5,3,101,0,-2.8,5960
10,Beta-alanine,89.09318,ala_B,0,0,1.20E-05,Amino acid,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000019,2,3,2,63.3,0,-3,239
11,Cis-aconitate,171.08442,acon_C,-3,0,1.61E-05,Carboxylic acid,"Bennet et al, glucose",,3,6,4,112,0,-1,643757
12,Citrate,189.0997,cit,-3,0,0.00196,Carboxylic acid,"Bennet et al, glucose",,1,7,2,141,-3,0.2,31348
13,Creatine,131.135,,0,0,,Other,,,3,3,3,90.4,0,-1.2,586
14,Dihydroxyacetone phosphate,168.041961,dhap,-2,1,0.000374,Phosphorylated sugar,"Bennet et al, glucose",,3,6,4,104,0,-2.5,668
15,Erythrose-4-phosphate,198.067941,e4p,-2,1,5.64E-05,Phosphorylated sugar,Park et al,,4,7,5,124,0,-3.3,122357
16,Ethanol,46.06844,etoh,0,0,,Other,,,1,1,0,20.2,0,-0.1,702
